size,density,method,time
4096,0.0078125,torch_matmul,0.011887866258621215
4096,0.0078125,torch_spmm,0.021785890311002733
4096,0.0078125,sputnik,0.0018966212247808775
4096,0.00390625,torch_matmul,0.01180969417716066
4096,0.00390625,torch_spmm,0.011497523449361325
4096,0.00390625,sputnik,0.0010483388168116411
8192,1.0,torch_matmul,0.11331789850567778
8192,1.0,torch_spmm,5.1771261985103285
8192,1.0,sputnik,0.6919127022537093
8192,0.5,torch_matmul,0.11225482321654758
8192,0.5,torch_spmm,12.48748346393307
8192,0.5,sputnik,0.6384449859149754
8192,0.25,torch_matmul,0.10930184725051124
8192,0.25,torch_spmm,6.436196186548719
8192,0.25,sputnik,0.36618016452218094
8192,0.125,torch_matmul,0.1072524305122594
8192,0.125,torch_spmm,3.301709708074729
8192,0.125,sputnik,0.19558663902183374
8192,0.0625,torch_matmul,0.10700027750184139
8192,0.0625,torch_spmm,1.6774067197926343
8192,0.0625,sputnik,0.10206357159962257
8192,0.03125,torch_matmul,0.10654456779981653
8192,0.03125,torch_spmm,0.8558576551576456
8192,0.03125,sputnik,0.05240925870214899
8192,0.015625,torch_matmul,0.10524905581648152
8192,0.015625,torch_spmm,0.43851272817701104
8192,0.015625,sputnik,0.02677928234140078
8192,0.0078125,torch_matmul,0.10271248699476322
8192,0.0078125,torch_spmm,0.21678764053309957
8192,0.0078125,sputnik,0.014216949014614027
8192,0.00390625,torch_matmul,0.101197156496346
8192,0.00390625,torch_spmm,0.11390682977313797
8192,0.00390625,sputnik,0.0078009755661090216
